case_id,case_month,customer_segment,channel,case_type,priority,case_age_days,touchpoints,sla_breach_flag,resolution_time_hours,experiment_group,escalated_flag
CASE0001,2025-10-01,Mid-Market,Phone,Billing,High,15,5,1,107,Treatment,0
CASE0002,2025-10-01,Small Business,Email,Data Quality,Critical,17,6,1,139,Control,1
CASE0003,2025-10-01,Enterprise,Phone,Technical,Low,14,5,0,102,Treatment,0
CASE0004,2025-10-01,Mid-Market,Email,Integration,Medium,16,6,1,134,Control,0
CASE0005,2025-10-01,Small Business,Phone,Access,High,5,2,0,27,Treatment,0
CASE0006,2025-10-01,Enterprise,Email,Billing,Critical,7,3,0,59,Control,0
CASE0007,2025-10-01,Mid-Market,Phone,Data Quality,Low,4,2,0,40,Treatment,0
CASE0008,2025-10-01,Small Business,Email,Technical,Medium,6,3,0,54,Control,0
CASE0009,2025-10-01,Enterprise,Phone,Integration,High,13,6,1,101,Treatment,0
CASE0010,2025-10-01,Mid-Market,Email,Access,Critical,15,7,1,133,Control,1
CASE0011,2025-10-01,Small Business,Phone,Billing,Low,12,6,0,96,Treatment,0
CASE0012,2025-10-01,Enterprise,Email,Data Quality,Medium,14,0,0,82,Control,0
CASE0013,2025-10-01,Mid-Market,Phone,Technical,High,21,3,1,129,Treatment,0
CASE0014,2025-10-01,Small Business,Email,Integration,Critical,5,4,0,53,Control,0
CASE0015,2025-10-01,Enterprise,Phone,Access,Low,2,3,0,34,Treatment,0
CASE0016,2025-10-01,Mid-Market,Email,Billing,Medium,4,4,0,48,Control,0
CASE0017,2025-10-01,Small Business,Phone,Data Quality,High,11,7,1,95,Treatment,0
CASE0018,2025-10-01,Enterprise,Email,Technical,Critical,13,8,1,127,Control,1
CASE0019,2025-10-01,Mid-Market,Phone,Integration,Low,10,0,0,62,Treatment,0
CASE0020,2025-10-01,Small Business,Email,Access,Medium,12,1,0,76,Control,0
CASE0021,2025-10-01,Enterprise,Phone,Billing,High,19,4,1,123,Treatment,0
CASE0022,2025-10-01,Mid-Market,Email,Data Quality,Critical,21,5,1,155,Control,1
CASE0023,2025-10-01,Small Business,Phone,Technical,Low,0,4,0,28,Treatment,0
CASE0024,2025-10-01,Enterprise,Email,Integration,Medium,2,5,0,42,Control,0
CASE0025,2025-10-01,Mid-Market,Phone,Access,High,9,8,0,71,Treatment,0
CASE0026,2025-10-01,Small Business,Email,Billing,Critical,11,2,1,93,Control,1
CASE0027,2025-10-01,Enterprise,Phone,Data Quality,Low,8,1,0,56,Treatment,0
CASE0028,2025-10-01,Mid-Market,Email,Technical,Medium,10,2,0,70,Control,0
CASE0029,2025-10-01,Small Business,Phone,Integration,High,17,5,1,117,Treatment,0
CASE0030,2025-10-01,Enterprise,Email,Access,Critical,19,6,1,149,Control,1
CASE0031,2025-10-01,Mid-Market,Phone,Billing,Low,16,5,0,112,Treatment,0
CASE0032,2025-10-01,Small Business,Email,Data Quality,Medium,0,6,0,36,Control,0
CASE0033,2025-10-01,Enterprise,Phone,Technical,High,7,2,0,37,Treatment,0
CASE0034,2025-10-01,Mid-Market,Email,Integration,Critical,9,3,0,69,Control,0
CASE0035,2025-10-01,Small Business,Phone,Access,Low,6,2,0,50,Treatment,0
CASE0036,2025-10-01,Enterprise,Email,Billing,Medium,8,3,0,64,Control,0
CASE0037,2025-11-01,Small Business,Portal,Technical,Critical,16,6,1,134,Treatment,1
CASE0038,2025-11-01,Enterprise,Chat,Integration,Low,13,5,0,97,Control,0
CASE0039,2025-11-01,Mid-Market,Portal,Access,Medium,15,6,0,111,Treatment,0
CASE0040,2025-11-01,Small Business,Chat,Billing,High,22,2,1,148,Control,1
CASE0041,2025-11-01,Enterprise,Portal,Data Quality,Critical,6,3,0,54,Treatment,0
CASE0042,2025-11-01,Mid-Market,Chat,Technical,Low,3,2,0,35,Control,0
CASE0043,2025-11-01,Small Business,Portal,Integration,Medium,5,3,0,49,Treatment,0
CASE0044,2025-11-01,Enterprise,Chat,Access,High,12,6,1,114,Control,1
CASE0045,2025-11-01,Mid-Market,Portal,Billing,Critical,14,7,1,128,Treatment,1
CASE0046,2025-11-01,Small Business,Chat,Data Quality,Low,11,6,0,91,Control,0
CASE0047,2025-11-01,Enterprise,Portal,Technical,Medium,13,0,0,77,Treatment,0
CASE0048,2025-11-01,Mid-Market,Chat,Integration,High,20,3,1,142,Control,1
CASE0049,2025-11-01,Small Business,Portal,Access,Critical,22,4,1,156,Treatment,1
CASE0050,2025-11-01,Enterprise,Chat,Billing,Low,1,3,0,29,Control,0
CASE0051,2025-11-01,Mid-Market,Portal,Data Quality,Medium,3,4,0,43,Treatment,0
CASE0052,2025-11-01,Small Business,Chat,Technical,High,10,7,1,108,Control,1
CASE0053,2025-11-01,Enterprise,Portal,Integration,Critical,12,8,1,122,Treatment,1
CASE0054,2025-11-01,Mid-Market,Chat,Access,Low,9,0,0,57,Control,0
CASE0055,2025-11-01,Small Business,Portal,Billing,Medium,11,1,0,71,Treatment,0
CASE0056,2025-11-01,Enterprise,Chat,Data Quality,High,18,4,1,136,Control,1
CASE0057,2025-11-01,Mid-Market,Portal,Technical,Critical,20,5,1,150,Treatment,1
CASE0058,2025-11-01,Small Business,Chat,Integration,Low,17,4,0,113,Control,0
CASE0059,2025-11-01,Enterprise,Portal,Access,Medium,1,5,0,37,Treatment,0
CASE0060,2025-11-01,Mid-Market,Chat,Billing,High,8,8,0,84,Control,1
CASE0061,2025-11-01,Small Business,Portal,Data Quality,Critical,10,2,0,70,Treatment,0
CASE0062,2025-11-01,Enterprise,Chat,Technical,Low,7,1,0,51,Control,0
CASE0063,2025-11-01,Mid-Market,Portal,Integration,Medium,9,2,0,65,Treatment,0
CASE0064,2025-11-01,Small Business,Chat,Access,High,16,5,1,130,Control,1
CASE0065,2025-11-01,Enterprise,Portal,Billing,Critical,18,6,1,144,Treatment,1
CASE0066,2025-11-01,Mid-Market,Chat,Data Quality,Low,15,5,0,107,Control,0
CASE0067,2025-11-01,Small Business,Portal,Technical,Medium,17,6,1,139,Treatment,0
CASE0068,2025-11-01,Enterprise,Chat,Integration,High,6,2,0,50,Control,0
CASE0069,2025-11-01,Mid-Market,Portal,Access,Critical,8,3,0,64,Treatment,0
